sleeper_id,name,position,nfl_team,age,fc_offense_rank,dhq_offense_rank,overall_rank_delta,fc_position_rank,dhq_position_rank,position_rank_delta,fc_value,dhq_value,value_delta,value_delta_pct,fc_trend_30d,dhq_source,ppg,starter_seasons,league_starter_pool,replacement_line_ppg,age_curve_phase,fc_weight
13301,Antonio Williams,WR,WAS,21.8,127,177,50,53,69,16,1803,1168,-635,-35.2,372,FC_ROOKIE,2.92,0,,,,25
9753,Zach Charbonnet,RB,SEA,25.3,128,106,-22,31,27,-4,1786,1827,41,2.3,-305,DHQ_FC_BLEND,4.5675,1,,,,25
12484,Jayden Higgins,WR,HOU,23.4,129,122,-7,54,49,-5,1762,1637,-125,-7.1,-145,DHQ_FC_BLEND,4.0925,1,,,,25
13272,Carson Beck,QB,ARI,23.5,130,184,54,30,37,7,1752,1135,-617,-35.2,387,FC_ROOKIE,2.8375,0,,,,25
12534,Kyle Monangai,RB,CHI,23.9,131,135,4,32,36,4,1736,1488,-248,-14.3,61,DHQ_FC_BLEND,3.72,0,,,,25
9754,Quentin Johnston,WR,LAC,24.7,132,133,1,55,52,-3,1733,1534,-199,-11.5,-13,DHQ_FC_BLEND,3.835,1,,,,25
11565,J.J. McCarthy,QB,MIN,23.3,133,132,-1,31,31,0,1726,1536,-190,-11,-6,DHQ_FC_BLEND,3.84,1,,,,25
8228,Jaylen Warren,RB,PIT,27.5,134,137,3,33,37,4,1711,1477,-234,-13.7,49,DHQ_FC_BLEND,3.6925,0,,,,25
7021,Rico Dowdle,RB,PIT,27.9,135,127,-8,34,34,0,1691,1595,-96,-5.7,-180,DHQ_FC_BLEND,3.9875,1,,,,25
9480,Brenton Strange,TE,JAX,25.4,136,141,5,16,16,0,1690,1443,-247,-14.6,33,DHQ_FC_BLEND,3.6075,0,,,,25
11586,Blake Corum,RB,LAR,25.4,137,143,6,35,38,3,1683,1421,-262,-15.6,-13,DHQ_FC_BLEND,3.5525,0,,,,25
12524,Shedeur Sanders,QB,CLE,24.2,138,134,-4,32,32,0,1680,1510,-170,-10.1,-9,DHQ_FC_BLEND,3.775,1,,,,25
